"תחנה","תאריך ושעה (שעון קיץ)","טמפרטורה (C°)","מהירות רוח (מטר לשניה)"
"חיפה בתי זיקוק 01/1999-03/2025","11-10-2022 03:00","19.9","0.5"
"חיפה בתי זיקוק 01/1999-03/2025","11-10-2022 06:00","19.1","0.5"
"חיפה בתי זיקוק 01/1999-03/2025","11-10-2022 09:00","24.7","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","11-10-2022 12:00","28.7","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","11-10-2022 15:00","28.1","7.1"
"חיפה בתי זיקוק 01/1999-03/2025","11-10-2022 18:00","25.7","6.2"
"חיפה בתי זיקוק 01/1999-03/2025","11-10-2022 21:00","23.9","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","12-10-2022 00:00","22.5","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","12-10-2022 03:00","21.6","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","12-10-2022 06:00","19.2","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","12-10-2022 09:00","24.2","0.4"
"חיפה בתי זיקוק 01/1999-03/2025","12-10-2022 12:00","","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","12-10-2022 15:00","28.2","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","12-10-2022 18:00","25.2","3.8"
"חיפה בתי זיקוק 01/1999-03/2025","12-10-2022 21:00","23.5","4"
"חיפה בתי זיקוק 01/1999-03/2025","13-10-2022 00:00","22.6","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","13-10-2022 03:00","21.7","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","13-10-2022 06:00","23.7","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","13-10-2022 09:00","24.9","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","13-10-2022 12:00","27.9","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","13-10-2022 15:00","27.5","6.3"
"חיפה בתי זיקוק 01/1999-03/2025","13-10-2022 18:00","24.7","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","13-10-2022 21:00","22.4","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","14-10-2022 00:00","19.8","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","14-10-2022 03:00","19.4","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","14-10-2022 06:00","18.9","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","14-10-2022 09:00","24","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","14-10-2022 12:00","29","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","14-10-2022 15:00","28.1","6.3"
"חיפה בתי זיקוק 01/1999-03/2025","14-10-2022 18:00","24.7","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","14-10-2022 21:00","22.8","2"
"חיפה בתי זיקוק 01/1999-03/2025","15-10-2022 00:00","21.3","0.4"
"חיפה בתי זיקוק 01/1999-03/2025","15-10-2022 03:00","20.3","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","15-10-2022 06:00","21.2","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","15-10-2022 09:00","23.9","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","15-10-2022 12:00","27.9","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","15-10-2022 15:00","28.7","6.2"
"חיפה בתי זיקוק 01/1999-03/2025","15-10-2022 18:00","24.9","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","15-10-2022 21:00","22.8","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","16-10-2022 00:00","20.8","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","16-10-2022 03:00","19.2","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","16-10-2022 06:00","20.8","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","16-10-2022 09:00","25.9","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","16-10-2022 12:00","30.2","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","16-10-2022 15:00","26.3","10.7"
"חיפה בתי זיקוק 01/1999-03/2025","16-10-2022 18:00","24.7","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","16-10-2022 21:00","22.4","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","17-10-2022 00:00","20","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","17-10-2022 03:00","21.2","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","17-10-2022 06:00","20.3","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","17-10-2022 09:00","26.6","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","17-10-2022 12:00","29.6","7.6"
"חיפה בתי זיקוק 01/1999-03/2025","17-10-2022 15:00","28.4","8.2"
"חיפה בתי זיקוק 01/1999-03/2025","17-10-2022 18:00","25.1","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","17-10-2022 21:00","24.3","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","18-10-2022 00:00","22.4","1"
"חיפה בתי זיקוק 01/1999-03/2025","18-10-2022 03:00","21.5","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","18-10-2022 06:00","21.2","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","18-10-2022 09:00","24.9","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","18-10-2022 12:00","28.3","3.5"
"חיפה בתי זיקוק 01/1999-03/2025","18-10-2022 15:00","29","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","18-10-2022 18:00","25.1","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","18-10-2022 21:00","22.6","2.6"
"חיפה בתי זיקוק 01/1999-03/2025","19-10-2022 00:00","20.1","0.3"
"חיפה בתי זיקוק 01/1999-03/2025","19-10-2022 03:00","18.4","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","19-10-2022 06:00","17.6","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","19-10-2022 09:00","23.7","0.5"
"חיפה בתי זיקוק 01/1999-03/2025","19-10-2022 12:00","28","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","19-10-2022 15:00","28.4","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","19-10-2022 18:00","24.9","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","19-10-2022 21:00","22.3","2.1"
"חיפה בתי זיקוק 01/1999-03/2025","20-10-2022 00:00","19.9","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","20-10-2022 03:00","19.9","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","20-10-2022 06:00","19.8","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","20-10-2022 09:00","24.7","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","20-10-2022 12:00","27.2","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","20-10-2022 15:00","29","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","20-10-2022 18:00","24.8","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","20-10-2022 21:00","24","2.6"
"חיפה בתי זיקוק 01/1999-03/2025","21-10-2022 00:00","22.7","0.4"
"חיפה בתי זיקוק 01/1999-03/2025","21-10-2022 03:00","21","2.1"
"חיפה בתי זיקוק 01/1999-03/2025","21-10-2022 06:00","20.5","0.3"
"חיפה בתי זיקוק 01/1999-03/2025","21-10-2022 09:00","23","0.5"
"חיפה בתי זיקוק 01/1999-03/2025","21-10-2022 12:00","27.3","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","21-10-2022 15:00","27","5.7"
"חיפה בתי זיקוק 01/1999-03/2025","21-10-2022 18:00","24.6","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","21-10-2022 21:00","23","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","22-10-2022 00:00","21.9","3"
"חיפה בתי זיקוק 01/1999-03/2025","22-10-2022 03:00","20.4","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","22-10-2022 06:00","18.8","1"
"חיפה בתי זיקוק 01/1999-03/2025","22-10-2022 09:00","22.2","1"
"חיפה בתי זיקוק 01/1999-03/2025","22-10-2022 12:00","26","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","22-10-2022 15:00","27.6","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","22-10-2022 18:00","24.8","4.3"
"חיפה בתי זיקוק 01/1999-03/2025","22-10-2022 21:00","22","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","23-10-2022 00:00","21.2","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","23-10-2022 03:00","18.8","0.4"
"חיפה בתי זיקוק 01/1999-03/2025","23-10-2022 06:00","17.3","1"
"חיפה בתי זיקוק 01/1999-03/2025","23-10-2022 09:00","22.6","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","23-10-2022 12:00","28","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","23-10-2022 15:00","27.9","7.2"
"חיפה בתי זיקוק 01/1999-03/2025","23-10-2022 18:00","22.9","6.3"
"חיפה בתי זיקוק 01/1999-03/2025","23-10-2022 21:00","23.2","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","24-10-2022 00:00","20.6","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","24-10-2022 03:00","19.3","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","24-10-2022 06:00","17.5","0.5"
"חיפה בתי זיקוק 01/1999-03/2025","24-10-2022 09:00","22.4","0.4"
"חיפה בתי זיקוק 01/1999-03/2025","24-10-2022 12:00","26.8","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","24-10-2022 15:00","27.6","6.5"
"חיפה בתי זיקוק 01/1999-03/2025","24-10-2022 18:00","24.9","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","24-10-2022 21:00","23.2","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","25-10-2022 00:00","22.2","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","25-10-2022 03:00","20.7","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","25-10-2022 06:00","18.6","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","25-10-2022 09:00","25.3","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","25-10-2022 12:00","20.7","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","25-10-2022 15:00","29.6","8"
"חיפה בתי זיקוק 01/1999-03/2025","25-10-2022 18:00","28.4","4"
"חיפה בתי זיקוק 01/1999-03/2025","25-10-2022 21:00","27","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","26-10-2022 00:00","25.5","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","26-10-2022 03:00","23.1","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","26-10-2022 06:00","22.7","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","26-10-2022 09:00","24","9.7"
"חיפה בתי זיקוק 01/1999-03/2025","26-10-2022 12:00","25","3"
"חיפה בתי זיקוק 01/1999-03/2025","26-10-2022 15:00","26.6","6.3"
"חיפה בתי זיקוק 01/1999-03/2025","26-10-2022 18:00","24.2","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","26-10-2022 21:00","20.6","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","27-10-2022 00:00","17.9","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","27-10-2022 03:00","17.2","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","27-10-2022 06:00","16.5","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","27-10-2022 09:00","22","1"
"חיפה בתי זיקוק 01/1999-03/2025","27-10-2022 12:00","27.4","4"
"חיפה בתי זיקוק 01/1999-03/2025","27-10-2022 15:00","28.1","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","27-10-2022 18:00","24.6","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","27-10-2022 21:00","22.3","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","28-10-2022 00:00","20.8","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","28-10-2022 03:00","19.7","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","28-10-2022 06:00","17.6","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","28-10-2022 09:00","21.3","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","28-10-2022 12:00","29.8","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","28-10-2022 15:00","27.3","6.4"
"חיפה בתי זיקוק 01/1999-03/2025","28-10-2022 18:00","24.7","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","28-10-2022 21:00","22.1","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","29-10-2022 00:00","20.8","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","29-10-2022 03:00","17.4","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","29-10-2022 06:00","16.2","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","29-10-2022 09:00","21.3","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","29-10-2022 12:00","28.2","3.8"
"חיפה בתי זיקוק 01/1999-03/2025","29-10-2022 15:00","27.2","7.3"
"חיפה בתי זיקוק 01/1999-03/2025","29-10-2022 18:00","25.1","6.3"
"חיפה בתי זיקוק 01/1999-03/2025","29-10-2022 21:00","24","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","30-10-2022 00:00","20.2","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","30-10-2022 03:00","20.4","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","30-10-2022 06:00","18.1","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","30-10-2022 09:00","23.4","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","30-10-2022 12:00","29.3","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","30-10-2022 15:00","28.3","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","30-10-2022 18:00","25","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","30-10-2022 21:00","22.6","3"
"חיפה בתי זיקוק 01/1999-03/2025","31-10-2022 00:00","22.5","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","31-10-2022 03:00","21.5","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","31-10-2022 06:00","19.3","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","31-10-2022 09:00","23.8","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","31-10-2022 12:00","27.7","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","31-10-2022 15:00","27.6","5.9"
"חיפה בתי זיקוק 01/1999-03/2025","31-10-2022 18:00","24.1","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","31-10-2022 21:00","22.5","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","01-11-2022 00:00","20.4","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","01-11-2022 03:00","19","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","01-11-2022 06:00","17.3","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","01-11-2022 09:00","21.8","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","01-11-2022 12:00","24.9","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","01-11-2022 15:00","26.4","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","01-11-2022 18:00","22.8","3.8"
"חיפה בתי זיקוק 01/1999-03/2025","01-11-2022 21:00","20.8","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","02-11-2022 00:00","17.6","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","02-11-2022 03:00","16.4","0.4"
"חיפה בתי זיקוק 01/1999-03/2025","02-11-2022 06:00","15.4","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","02-11-2022 09:00","20.4","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","02-11-2022 12:00","25.5","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","02-11-2022 15:00","26.1","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","02-11-2022 18:00","22.8","3"
"חיפה בתי זיקוק 01/1999-03/2025","02-11-2022 21:00","20.8","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","03-11-2022 00:00","18.6","0.5"
"חיפה בתי זיקוק 01/1999-03/2025","03-11-2022 03:00","18.1","0.5"
"חיפה בתי זיקוק 01/1999-03/2025","03-11-2022 06:00","16.4","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","03-11-2022 09:00","20.5","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","03-11-2022 12:00","26.7","3"
"חיפה בתי זיקוק 01/1999-03/2025","03-11-2022 15:00","26.5","6"
"חיפה בתי זיקוק 01/1999-03/2025","03-11-2022 18:00","23","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","03-11-2022 21:00","19.7","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","04-11-2022 00:00","17.3","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","04-11-2022 03:00","15.9","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","04-11-2022 06:00","14.9","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","04-11-2022 09:00","20.2","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","04-11-2022 12:00","25","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","04-11-2022 15:00","25.6","5"
"חיפה בתי זיקוק 01/1999-03/2025","04-11-2022 18:00","21.6","4.3"
"חיפה בתי זיקוק 01/1999-03/2025","04-11-2022 21:00","19.1","3"
"חיפה בתי זיקוק 01/1999-03/2025","05-11-2022 00:00","16.7","0.7"
"חיפה בתי זיקוק 01/1999-03/2025","05-11-2022 03:00","15","1"
"חיפה בתי זיקוק 01/1999-03/2025","05-11-2022 06:00","13.8","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","05-11-2022 09:00","18.6","0.5"
"חיפה בתי זיקוק 01/1999-03/2025","05-11-2022 12:00","25.5","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","05-11-2022 15:00","25.5","6.4"
"חיפה בתי זיקוק 01/1999-03/2025","05-11-2022 18:00","23.4","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","05-11-2022 21:00","21.9","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","06-11-2022 00:00","22.1","4"
"חיפה בתי זיקוק 01/1999-03/2025","06-11-2022 03:00","17.7","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","06-11-2022 06:00","15.9","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","06-11-2022 09:00","19.8","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","06-11-2022 12:00","28.1","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","06-11-2022 15:00","28.5","4.6"
"חיפה בתי זיקוק 01/1999-03/2025","06-11-2022 18:00","23.7","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","06-11-2022 21:00","21.6","3.7"
"חיפה בתי זיקוק 01/1999-03/2025","07-11-2022 00:00","22.3","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","07-11-2022 03:00","20.1","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","07-11-2022 06:00","19.7","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","07-11-2022 09:00","22.1","2"
"חיפה בתי זיקוק 01/1999-03/2025","07-11-2022 12:00","25.7","6.2"
"חיפה בתי זיקוק 01/1999-03/2025","07-11-2022 15:00","25.8","5.3"
"חיפה בתי זיקוק 01/1999-03/2025","07-11-2022 18:00","22.8","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","07-11-2022 21:00","22","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","08-11-2022 00:00","17.7","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","08-11-2022 03:00","17.1","8.6"
"חיפה בתי זיקוק 01/1999-03/2025","08-11-2022 06:00","16.8","2.6"
"חיפה בתי זיקוק 01/1999-03/2025","08-11-2022 09:00","18.2","1.4"
"חיפה בתי זיקוק 01/1999-03/2025","08-11-2022 12:00","19.1","2"
"חיפה בתי זיקוק 01/1999-03/2025","08-11-2022 15:00","24.3","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","08-11-2022 18:00","20.2","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","08-11-2022 21:00","19.3","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","09-11-2022 00:00","17.1","3.4"
"חיפה בתי זיקוק 01/1999-03/2025","09-11-2022 03:00","16","1.2"
"חיפה בתי זיקוק 01/1999-03/2025","09-11-2022 06:00","17.1","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","09-11-2022 09:00","18.5","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","09-11-2022 12:00","18.9","2"
"חיפה בתי זיקוק 01/1999-03/2025","09-11-2022 15:00","22.9","1.6"
"חיפה בתי זיקוק 01/1999-03/2025","09-11-2022 18:00","19.5","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","09-11-2022 21:00","17.1","0.9"
"חיפה בתי זיקוק 01/1999-03/2025","10-11-2022 00:00","15","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","10-11-2022 03:00","14.7","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","10-11-2022 06:00","14.6","2.9"
"חיפה בתי זיקוק 01/1999-03/2025","10-11-2022 09:00","17.5","1"
"חיפה בתי זיקוק 01/1999-03/2025","10-11-2022 12:00","21","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","10-11-2022 15:00","24.4","3.9"
"חיפה בתי זיקוק 01/1999-03/2025","10-11-2022 18:00","19.8","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","10-11-2022 21:00","16.9","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","11-11-2022 00:00","14.8","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","11-11-2022 03:00","13.9","3"
"חיפה בתי זיקוק 01/1999-03/2025","11-11-2022 06:00","13.1","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","11-11-2022 09:00","16.6","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","11-11-2022 12:00","24.3","1.3"
"חיפה בתי זיקוק 01/1999-03/2025","11-11-2022 15:00","24.4","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","11-11-2022 18:00","21.6","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","11-11-2022 21:00","19.1","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","12-11-2022 00:00","16.2","2.2"
"חיפה בתי זיקוק 01/1999-03/2025","12-11-2022 03:00","18.7","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","12-11-2022 06:00","20.5","6.2"
"חיפה בתי זיקוק 01/1999-03/2025","12-11-2022 09:00","21.2","7.7"
"חיפה בתי זיקוק 01/1999-03/2025","12-11-2022 12:00","26.2","7.3"
"חיפה בתי זיקוק 01/1999-03/2025","12-11-2022 15:00","27.1","6.3"
"חיפה בתי זיקוק 01/1999-03/2025","12-11-2022 18:00","23.3","5.1"
"חיפה בתי זיקוק 01/1999-03/2025","12-11-2022 21:00","19.5","1.5"
"חיפה בתי זיקוק 01/1999-03/2025","13-11-2022 00:00","22.5","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","13-11-2022 03:00","22.5","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","13-11-2022 06:00","19.5","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","13-11-2022 09:00","22.1","7.4"
"חיפה בתי זיקוק 01/1999-03/2025","13-11-2022 12:00","27.2","6.1"
"חיפה בתי זיקוק 01/1999-03/2025","13-11-2022 15:00","29.4","4.2"
"חיפה בתי זיקוק 01/1999-03/2025","13-11-2022 18:00","23.6","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","13-11-2022 21:00","19.7","1.7"
"חיפה בתי זיקוק 01/1999-03/2025","14-11-2022 00:00","19","2.3"
"חיפה בתי זיקוק 01/1999-03/2025","14-11-2022 03:00","22","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","14-11-2022 06:00","17","3.6"
"חיפה בתי זיקוק 01/1999-03/2025","14-11-2022 09:00","21.4","5.4"
"חיפה בתי זיקוק 01/1999-03/2025","14-11-2022 12:00","24","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","14-11-2022 15:00","25.7","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","14-11-2022 18:00","23.1","4.9"
"חיפה בתי זיקוק 01/1999-03/2025","14-11-2022 21:00","20.4","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","15-11-2022 00:00","18.8","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","15-11-2022 03:00","17.1","0.6"
"חיפה בתי זיקוק 01/1999-03/2025","15-11-2022 06:00","17.1","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","15-11-2022 09:00","18.7","0.8"
"חיפה בתי זיקוק 01/1999-03/2025","15-11-2022 12:00","23.4","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","15-11-2022 15:00","24.3","5"
"חיפה בתי זיקוק 01/1999-03/2025","15-11-2022 18:00","21.9","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","15-11-2022 21:00","21.4","4.8"
"חיפה בתי זיקוק 01/1999-03/2025","16-11-2022 00:00","20.8","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","16-11-2022 03:00","17.5","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","16-11-2022 06:00","18.1","2.6"
"חיפה בתי זיקוק 01/1999-03/2025","16-11-2022 09:00","19","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","16-11-2022 12:00","21.9","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","16-11-2022 15:00","22.2","5.5"
"חיפה בתי זיקוק 01/1999-03/2025","16-11-2022 18:00","20.2","5"
"חיפה בתי זיקוק 01/1999-03/2025","16-11-2022 21:00","18","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","17-11-2022 00:00","16.7","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","17-11-2022 03:00","16.2","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","17-11-2022 06:00","17.4","4.7"
"חיפה בתי זיקוק 01/1999-03/2025","17-11-2022 09:00","18.3","2.4"
"חיפה בתי זיקוק 01/1999-03/2025","17-11-2022 12:00","22.9","4.1"
"חיפה בתי זיקוק 01/1999-03/2025","17-11-2022 15:00","23.5","5"
"חיפה בתי זיקוק 01/1999-03/2025","17-11-2022 18:00","20.4","5.2"
"חיפה בתי זיקוק 01/1999-03/2025","17-11-2022 21:00","17.4","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","18-11-2022 00:00","16.7","3.3"
"חיפה בתי זיקוק 01/1999-03/2025","18-11-2022 03:00","15.8","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","18-11-2022 06:00","16.5","3.1"
"חיפה בתי זיקוק 01/1999-03/2025","18-11-2022 09:00","17.8","4.4"
"חיפה בתי זיקוק 01/1999-03/2025","18-11-2022 12:00","23.4","2.7"
"חיפה בתי זיקוק 01/1999-03/2025","18-11-2022 15:00","24.5","4.5"
"חיפה בתי זיקוק 01/1999-03/2025","18-11-2022 18:00","20.1","2.5"
"חיפה בתי זיקוק 01/1999-03/2025","18-11-2022 21:00","17.5","2"
"חיפה בתי זיקוק 01/1999-03/2025","19-11-2022 00:00","15.6","1.1"
"חיפה בתי זיקוק 01/1999-03/2025","19-11-2022 03:00","14.6","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","19-11-2022 06:00","13.1","2.8"
"חיפה בתי זיקוק 01/1999-03/2025","19-11-2022 09:00","19.4","5.6"
"חיפה בתי זיקוק 01/1999-03/2025","19-11-2022 12:00","25.2","1.9"
"חיפה בתי זיקוק 01/1999-03/2025","19-11-2022 15:00","27.4","1.8"
"חיפה בתי זיקוק 01/1999-03/2025","19-11-2022 18:00","22","3.2"
"חיפה בתי זיקוק 01/1999-03/2025","19-11-2022 21:00","18.3","1.2"
